Skill / pot,#,Player,Age,Team,ETV
91.6,1,Norway,25,Man City,€145.5M
95.9,,Erling HaalandF (C),,,
79.9,2,Sweden,26,Liverpool,€124.1M
83.1,,Alexander IsakF (C),,,
82.9,3,Argentina,27,Liverpool,€118M
84.1,,"Alexis Mac AllisterM, DM (C)",,,
84,4,Germany,22,Liverpool,€115.3M
95.5,,"Florian WirtzAM (C), M (CL)",,,
80.1,5,Ecuador,24,Chelsea,€112.2M
87.8,,"Moisés CaicedoDM, M (C)",,,
85.9,6,England,24,Arsenal,€103.5M
93.7,,"Bukayo SakaF, M (R)",,,
83.5,7,England,27,Arsenal,€101.3M
86.5,,"Declan RiceM, DM (C)",,,
79.7,8,England,23,Chelsea,€96.7M
85.9,,Cole PalmerM (C),,,
83.8,9,Netherlands,23,Liverpool,€94.8M
93,,Ryan GravenberchDM (C),,,
68.1,10,Brazil,18,Chelsea,€92.1M
87,,"EstêvãoF, M (R), AM (C)",,,
81.4,11,Spain,29,Man City,€90.8M
81.4,,"RodriDM, M (C)",,,
80,12,France,23,Liverpool,€89.2M
87,,Hugo EkitikéF (C),,,
87.4,13,France,24,Arsenal,€89.1M
96.1,,William SalibaD (C),,,
78.1,14,Argentina,25,Chelsea,€82.3M
82.1,,"Enzo FernándezM, DM (C)",,,
81,15,Brazil,28,Newcastle,€80.8M
81.9,,"Bruno GuimarãesM, DM (C)",,,
82.7,16,Croatia,24,Man City,€80.2M
90.4,,Josko Gvardiol D (CL),,,
83.5,17,Netherlands,26,Liverpool,€80M
86.2,,"Cody GakpoF, M (L)",,,
77.6,18,Netherlands,22,Tottenham,€79.9M
87.1,,"Xavi SimonsAM (C), M (CL)",,,
83.7,19,Hungary,25,Liverpool,€78.7M
89.6,,"Dominik SzoboszlaiAM, M, DM (C)",,,
77.7,20,Egypt,27,Man City,€78.5M
78.4,,Omar MarmoushF (C),,,
86.1,21,Norway,27,Arsenal,€76.9M
87.8,,"Martin ØdegaardM, AM (C)",,,
85,22,England,25,Man City,€76.5M
89.7,,"Phil FodenAM, M (C)",,,
75.1,23,Germany,24,Newcastle,€76M
80.9,,"Nick WoltemadeF, M (C)",,,
80.4,24,Sweden,27,Arsenal,€75.1M
80.4,,Viktor GyökeresF (C),,,
76.3,25,Netherlands,27,Man City,€74.7M
76.8,,"Tijjani ReijndersM, DM (C)",,,
,26,Spain,27,Arsenal,€74.5M
77.5,,"Martín ZubimendiDM, M (C)",,,
78,,,,,
77.1,27,Slovenia,22,Man Utd,€73.7M
85.8,,Benjamin SeskoF (C),,,
77.1,28,England,27,Arsenal,€73.6M
77.3,,"Eberechi EzeAM, M (C), F (L)",,,
72.3,29,France,20,Man Utd,€72.4M
88.8,,Leny YoroD (CRL),,,
76.7,30,Brazil,24,Chelsea,€71.8M
81,,"João PedroF, M, AM (C)",,,
85.1,31,Brazil,28,Arsenal,€69.6M
86.5,,Gabriel MagalhãesD (C),,,
76.7,32,Cameroon,22,Brighton,€69.6M
89.1,,"Carlos BalebaDM, M (C)",,,
81.9,33,Belgium,23,Man City,€67.2M
89.9,,"Jérémy DokuF, M (L)",,,
79.7,34,Brazil,21,Man City,€66.6M
90.8,,"SavinhoF (L), M (RL)",,,
75.7,35,Brazil,23,N. Forest,€65.5M
81.2,,MurilloD (C),,,
70.7,36,England,22,C. Palace,€64.8M
83,,Adam WhartonM (C),,,
79.3,37,Netherlands,24,Arsenal,€64.7M
87.2,,Jurriën TimberD (R),,,
70.6,38,Netherlands,24,Tottenham,€64.6M
79.1,,Micky van de VenD (C),,,
76.6,39,France,22,Man City,€63.9M
85.9,,"Rayan CherkiAM (C), M (CR)",,,
75.7,40,Portugal,26,Chelsea,€62.9M
77,,"Pedro NetoF (R), M (RL)",,,
73.6,41,Ghana,25,Tottenham,€62.5M
78.3,,"Mohammed Kudus F, M (R)",,,
77.8,42,Ghana,26,Man City,€62.5M
78.9,,"Antoine SemenyoF (R), M (RL)",,,
83.9,43,Cameroon,26,Man Utd,€62.1M
84,,"Bryan MbeumoF, M (R), AM (C)",,,
72,44,Argentina,27,Tottenham,€62M
73.9,,Cristian Romero D (C),,,
77.8,45,England,30,A. Villa,€61.1M
77.8,,Ollie WatkinsF (C),,,
74.7,46,England,26,N. Forest,€61M
77.8,,"Morgan Gibbs-WhiteAM, M (C)",,,
75.3,47,Ecuador,24,Arsenal,€60.9M
82.2,,Piero HincapiéD (CL),,,
80.6,48,Germany,26,Arsenal,€60.8M
81.9,,"Kai HavertzF, M (C)",,,
76.2,49,Netherlands,25,Liverpool,€60.5M
80.6,,"Jeremie FrimpongD, M (R)",,,
76.5,50,Hungary,22,Liverpool,€59.9M
89.3,,Milos KerkezD (L),,,
,51,England,24,A. Villa,€59.8M
72.9,,"Morgan RogersAM (C), M (CL)",,,
82.2,,,,,
86,52,Sweden,25,Tottenham,€59.4M
92.1,,"Dejan Kulusevski  AM, M (C)",,,
80.2,53,England,21,Chelsea,€59.2M
91.9,,"Jamie GittensF, M (L)",,,
78.4,54,Italy,25,Newcastle,€58.9M
84.2,,"Sandro TonaliDM, M (C)",,,
82.4,55,Brazil,26,Man Utd,€58.9M
82.9,,Matheus CunhaF (C),,,
73.1,56,England,20,Man Utd,€58.6M
84.4,,"Kobbie MainooM, DM (C)",,,
75.4,57,England,21,Man City,€56.9M
87.9,,Rico LewisD (RL),,,
76.3,58,Argentina,21,Chelsea,€56.7M
87.6,,"Alejandro GarnachoF, M (L)",,,
80.4,59,Gambia,21,Brighton,€56.7M
94.9,,"Yankuba MintehF, M (R)",,,
64.3,60,England,19,Arsenal,€56.6M
84.6,,"Myles Lewis-SkellyD (L), M (C)",,,
78.3,61,England,23,Chelsea,€56.4M
90,,Levi ColwillD (C),,,
63,62,Netherlands,20,Chelsea,€56M
87.1,,Jorrel HatoD (L),,,
69.5,63,England,20,Tottenham,€55.9M
88.8,,"Archie GrayM, DM, D (C)",,,
88.5,64,Portugal,28,Man City,€55.9M
88.5,,Rúben Dias D (C),,,
78.2,65,Spain,24,Man City,€55.5M
84,,"Nico GonzálezDM, M (C)",,,
70.7,66,Sweden,20,Tottenham,€54.9M
87.9,,Lucas Bergvall M (C),,,
77.1,67,England,24,Arsenal,€54.9M
83.2,,"Noni MaduekeF, M (R)",,,
78.4,68,Spain,21,Arsenal,€53.7M
89.6,,Cristhian MosqueraD (C),,,
76.8,69,England,23,Newcastle,€53.4M
85.2,,Tino LivramentoD (RL),,,
80.7,70,England,25,Man City,€52.7M
84.1,,Marc GuéhiD (CL),,,
82,71,France,26,A. Villa,€51.8M
83.4,,"Boubacar KamaraDM, M (C)",,,
