player_name,normalized_name,club_name,normalized_club,age,position,position_group,league_name,current_value_gbp,peak_value_gbp,trajectory
Erling Haaland,erling haaland,,,0,,,Premier League,125130000.0,125130000.0,
Alexander Isak,alexander isak,,,0,,,Premier League,106726000.0,106726000.0,
Alexis Mac Allister,alexis mac allister,,,0,,,Premier League,101480000.0,101480000.0,
Florian Wirtz,florian wirtz,,,0,,,Premier League,99158000.0,99158000.0,
Moisés Caicedo,moisés caicedo,,,0,,,Premier League,96492000.0,96492000.0,
Bukayo Saka,bukayo saka,,,0,,,Premier League,89010000.0,89010000.0,
Declan Rice,declan rice,,,0,,,Premier League,87118000.0,87118000.0,
Cole Palmer,cole palmer,,,0,,,Premier League,83162000.0,83162000.0,
Ryan Gravenberch,ryan gravenberch,,,0,,,Premier League,81528000.0,81528000.0,
Estêvão,estêvão,,,0,,,Premier League,79206000.0,79206000.0,
Rodri,rodri,,,0,,,Premier League,78088000.0,78088000.0,
Hugo Ekitiké,hugo ekitiké,,,0,,,Premier League,76712000.0,76712000.0,
William Saliba,william saliba,,,0,,,Premier League,76626000.0,76626000.0,
Enzo Fernández,enzo fernández,,,0,,,Premier League,70778000.0,70778000.0,
Bruno Guimarães,bruno guimarães,,,0,,,Premier League,69488000.0,69488000.0,
Josko Gvardiol,josko gvardiol,,,0,,,Premier League,68972000.0,68972000.0,
Cody Gakpo,cody gakpo,,,0,,,Premier League,68800000.0,68800000.0,
Xavi Simons,xavi simons,,,0,,,Premier League,68714000.0,68714000.0,
Dominik Szoboszlai,dominik szoboszlai,,,0,,,Premier League,67682000.0,67682000.0,
Omar Marmoush,omar marmoush,,,0,,,Premier League,67510000.0,67510000.0,
Martin Ødegaard,martin ødegaard,,,0,,,Premier League,66134000.0,66134000.0,
Phil Foden,phil foden,,,0,,,Premier League,65790000.0,65790000.0,
Nick Woltemade,nick woltemade,,,0,,,Premier League,65360000.0,65360000.0,
Viktor Gyökeres,viktor gyökeres,,,0,,,Premier League,64586000.0,64586000.0,
Tijjani Reijnders,tijjani reijnders,,,0,,,Premier League,64242000.0,64242000.0,
Martín Zubimendi,martín zubimendi,,,0,,,Premier League,64070000.0,64070000.0,
Benjamin Sesko,benjamin sesko,,,0,,,Premier League,63382000.0,63382000.0,
Eberechi Eze,eberechi eze,,,0,,,Premier League,63296000.0,63296000.0,
Leny Yoro,leny yoro,,,0,,,Premier League,62264000.0,62264000.0,
João Pedro,joão pedro,,,0,,,Premier League,61748000.0,61748000.0,
Carlos Baleba,carlos baleba,,,0,,,Premier League,59856000.0,59856000.0,
Gabriel Magalhães,gabriel magalhães,,,0,,,Premier League,59856000.0,59856000.0,
Jérémy Doku,jérémy doku,,,0,,,Premier League,57792000.0,57792000.0,
Savinho,savinho,,,0,,,Premier League,57276000.0,57276000.0,
Murillo,murillo,,,0,,,Premier League,56330000.0,56330000.0,
Adam Wharton,adam wharton,,,0,,,Premier League,55728000.0,55728000.0,
Jurriën Timber,jurriën timber,,,0,,,Premier League,55642000.0,55642000.0,
Micky van de Ven,micky van de ven,,,0,,,Premier League,55556000.0,55556000.0,
Rayan Cherki,rayan cherki,,,0,,,Premier League,54954000.0,54954000.0,
Pedro Neto,pedro neto,,,0,,,Premier League,54094000.0,54094000.0,
Antoine Semenyo,antoine semenyo,,,0,,,Premier League,53750000.0,53750000.0,
Mohammed Kudus,mohammed kudus,,,0,,,Premier League,53750000.0,53750000.0,
Bryan Mbeumo,bryan mbeumo,,,0,,,Premier League,53406000.0,53406000.0,
Cristian Romero,cristian romero,,,0,,,Premier League,53320000.0,53320000.0,
Ollie Watkins,ollie watkins,,,0,,,Premier League,52546000.0,52546000.0,
Morgan Gibbs-White,morgan gibbs-white,,,0,,,Premier League,52460000.0,52460000.0,
Piero Hincapié,piero hincapié,,,0,,,Premier League,52374000.0,52374000.0,
Kai Havertz,kai havertz,,,0,,,Premier League,52288000.0,52288000.0,
Jeremie Frimpong,jeremie frimpong,,,0,,,Premier League,52030000.0,52030000.0,
Milos Kerkez,milos kerkez,,,0,,,Premier League,51514000.0,51514000.0,
Morgan Rogers,morgan rogers,,,0,,,Premier League,51428000.0,51428000.0,
Dejan Kulusevski,dejan kulusevski,,,0,,,Premier League,51084000.0,51084000.0,
Jamie Gittens,jamie gittens,,,0,,,Premier League,50912000.0,50912000.0,
Matheus Cunha,matheus cunha,,,0,,,Premier League,50654000.0,50654000.0,
Sandro Tonali,sandro tonali,,,0,,,Premier League,50654000.0,50654000.0,
Kobbie Mainoo,kobbie mainoo,,,0,,,Premier League,50396000.0,50396000.0,
Rico Lewis,rico lewis,,,0,,,Premier League,48934000.0,48934000.0,
Alejandro Garnacho,alejandro garnacho,,,0,,,Premier League,48762000.0,48762000.0,
Yankuba Minteh,yankuba minteh,,,0,,,Premier League,48762000.0,48762000.0,
Myles Lewis-Skelly,myles lewis-skelly,,,0,,,Premier League,48676000.0,48676000.0,
Levi Colwill,levi colwill,,,0,,,Premier League,48504000.0,48504000.0,
Jorrel Hato,jorrel hato,,,0,,,Premier League,48160000.0,48160000.0,
Archie Gray,archie gray,,,0,,,Premier League,48074000.0,48074000.0,
Rúben Dias,rúben dias,,,0,,,Premier League,48074000.0,48074000.0,
Nico González,nico gonzález,,,0,,,Premier League,47730000.0,47730000.0,
Lucas Bergvall,lucas bergvall,,,0,,,Premier League,47214000.0,47214000.0,
Noni Madueke,noni madueke,,,0,,,Premier League,47214000.0,47214000.0,
Cristhian Mosquera,cristhian mosquera,,,0,,,Premier League,46182000.0,46182000.0,
Tino Livramento,tino livramento,,,0,,,Premier League,45924000.0,45924000.0,
Marc Guéhi,marc guéhi,,,0,,,Premier League,45322000.0,45322000.0,
Boubacar Kamara,boubacar kamara,,,0,,,Premier League,44548000.0,44548000.0,
Destiny Udogie,destiny udogie,,,0,,,Premier League,44462000.0,44462000.0,
Manuel Ugarte,manuel ugarte,,,0,,,Premier League,44462000.0,44462000.0,
