player_name,club_name,position_name,minutes,total_points,points_per_game,goals_scored,assists,clean_sheets,goals_conceded,saves,defensive_contribution,yellow_cards,red_cards,bonus
Gabriel Gabriel,Arsenal,DEF,2075,164,6.8,3,4,13,15,0,214,3,0,24
Jurriën J.Timber,Arsenal,DEF,2415,148,5.1,3,6,13,20,0,144,5,0,9
James Tarkowski,Everton,DEF,2610,136,4.7,1,1,10,33,0,304,5,0,9
Marc Guéhi,Man City,DEF,2430,133,4.9,2,4,10,29,0,218,5,0,9
Virgil Virgil,Liverpool,DEF,2610,130,4.5,3,1,9,39,0,271,4,0,9
Trevoh Chalobah,Chelsea,DEF,2460,129,4.6,3,1,9,33,0,246,3,1,7
Marcos Senesi,Bournemouth,DEF,2478,126,4.5,0,4,8,45,0,334,8,0,9
Matheus Matheus N.,Man City,DEF,2174,126,4.8,1,7,9,22,0,157,4,0,16
Nico O'Reilly,Man City,DEF,2040,123,4.6,4,3,11,19,0,139,4,0,6
Maxence Lacroix,Crystal Palace,DEF,2395,119,4.4,1,2,9,34,0,280,3,1,7
Nordi Mukiele,Sunderland,DEF,2163,115,4.6,1,5,7,28,0,225,4,0,8
Daniel Ballard,Sunderland,DEF,1941,114,4.6,2,2,6,27,0,242,3,0,9
Rúben Rúben,Man City,DEF,2049,112,4.5,2,0,12,20,0,164,3,0,4
Ibrahima Konaté,Liverpool,DEF,2404,111,4.0,1,0,9,32,0,242,5,0,8
Reece James,Chelsea,DEF,1802,111,4.3,2,6,8,19,0,121,4,0,11
Daniel Muñoz,Crystal Palace,DEF,1779,109,5.2,3,3,9,20,0,142,5,0,8
Tyrick Mitchell,Crystal Palace,DEF,2578,108,3.7,1,1,10,35,0,191,5,0,7
Adrien Truffert,Bournemouth,DEF,2568,107,3.7,0,2,8,43,0,236,3,0,9
Jan Paul Van Hecke,Brighton,DEF,2400,107,4.0,3,2,6,34,0,228,7,0,7
Michael Keane,Everton,DEF,1955,107,4.3,3,0,6,28,0,230,0,1,8
Malick Thiaw,Newcastle,DEF,2207,105,4.0,4,0,4,40,0,222,3,0,11
Chris Richards,Crystal Palace,DEF,2242,104,4.2,1,0,9,31,0,255,3,0,3
Matty Cash,Aston Villa,DEF,2352,100,3.7,3,2,7,27,0,150,7,0,6
Omar Alderete,Sunderland,DEF,2173,100,4.0,1,1,8,29,0,253,5,0,5
Nathan Collins,Brentford,DEF,2161,99,3.8,1,2,6,32,0,242,4,0,7
Micky Van de Ven,Spurs,DEF,2366,97,3.6,4,1,7,42,0,178,7,1,10
William Saliba,Arsenal,DEF,1984,96,4.0,1,0,10,16,0,138,1,0,6
Diogo Dalot,Man Utd,DEF,2049,95,3.5,1,6,6,32,0,135,5,0,9
Jake O'Brien,Everton,DEF,2366,93,3.3,0,2,9,31,0,179,2,1,2
Joachim Andersen,Fulham,DEF,2291,93,3.6,0,1,5,38,0,265,6,0,5
Marc Cucurella,Chelsea,DEF,1896,91,3.6,1,3,9,21,0,141,5,1,5
Cristian Romero,Spurs,DEF,1710,89,4.2,4,1,5,29,0,182,8,2,10
Malo Gusto,Chelsea,DEF,1644,89,3.4,2,3,7,21,0,93,2,1,7
Ezri Konsa,Aston Villa,DEF,2495,88,3.1,0,1,8,33,0,167,0,1,3
Riccardo Calafiori,Arsenal,DEF,1373,87,4.1,1,2,10,8,0,93,5,0,4
Trai Hume,Sunderland,DEF,2399,85,2.9,0,1,8,31,0,167,7,0,6
Joe Rodon,Leeds,DEF,2366,85,3.1,2,0,3,46,0,224,1,0,5
Neco N.Williams,Nott'm Forest,DEF,2438,84,3.0,1,1,6,40,0,191,4,1,9
Sepp Van den Berg,Brentford,DEF,2123,83,3.5,0,2,5,34,0,212,1,0,3
Nikola Milenković,Nott'm Forest,DEF,2610,81,2.8,0,0,6,43,0,234,6,0,1
Pascal Struijk,Leeds,DEF,2258,80,3.1,0,1,4,40,0,231,3,0,3
Pedro Pedro Porro,Spurs,DEF,1983,80,3.2,0,3,7,29,0,149,6,0,4
El Hadji Malick Diouf,West Ham,DEF,1913,79,3.4,0,6,6,37,0,157,4,0,3
Keane Lewis-Potter,Brentford,DEF,1152,79,2.9,3,1,6,20,0,41,1,0,3
Michael Kayode,Brentford,DEF,2448,78,2.8,0,1,7,37,0,175,6,0,6
Joško Gvardiol,Man City,DEF,1301,77,4.8,2,2,6,13,0,99,2,0,5
Ferdi F.Kadıoğlu,Brighton,DEF,2320,76,2.7,0,2,6,31,0,124,6,0,4
Vitalii Mykolenko,Everton,DEF,2149,76,3.2,0,1,8,30,0,165,5,0,1
Kenny Tete,Fulham,DEF,1701,75,3.6,1,0,5,25,0,157,2,0,5
James Hill,Bournemouth,DEF,1292,75,3.8,0,3,5,16,0,162,2,0,2
Dan Burn,Newcastle,DEF,1708,74,3.5,0,3,6,28,0,170,7,1,5
Lucas Digne,Aston Villa,DEF,1378,74,3.1,0,4,6,14,0,79,3,0,4
Patrick Dorgu,Man Utd,DEF,1329,74,3.4,3,3,3,20,0,95,5,0,8
Milos Kerkez,Liverpool,DEF,1951,72,2.7,1,1,6,29,0,121,4,0,4
Hugo H.Bueno,Wolves,DEF,1856,72,2.7,1,2,4,31,0,141,1,0,4
Santiago S.Bueno,Wolves,DEF,1832,71,3.4,2,2,4,31,0,153,4,0,2
Luke Shaw,Man Utd,DEF,2437,70,2.4,0,1,6,36,0,149,5,0,0
Lewis Dunk,Brighton,DEF,2385,70,2.6,0,1,5,34,0,201,9,0,0
Jayden Bogle,Leeds,DEF,2268,70,2.6,1,3,4,41,0,140,5,0,0
Kristoffer Ajer,Brentford,DEF,1606,70,3.0,0,2,5,26,0,165,2,0,1
Piero Hincapie,Arsenal,DEF,1483,70,3.5,1,1,4,16,0,139,2,0,6
Murillo Murillo,Nott'm Forest,DEF,1819,69,3.3,1,0,4,28,0,194,4,0,3
Calvin Bassey,Fulham,DEF,1722,66,3.1,1,1,3,32,0,153,5,0,6
Lewis Hall,Newcastle,DEF,1569,66,3.0,1,2,3,30,0,138,2,0,4
Álex A.Jimenez,Bournemouth,DEF,1855,63,2.5,1,2,5,33,0,117,8,0,2
Konstantinos Mavropanos,West Ham,DEF,1722,62,2.8,0,0,3,33,0,203,2,0,0
Harry Maguire,Man Utd,DEF,1032,62,3.9,1,1,5,12,0,83,2,0,3
Gabriel Gudmundsson,Leeds,DEF,2318,61,2.2,0,0,4,42,0,158,4,0,8
Aaron Wan-Bissaka,West Ham,DEF,1731,61,3.0,0,3,3,36,0,154,3,0,0
Maxime Estève,Burnley,DEF,2239,60,2.3,0,0,2,54,0,244,0,0,0
Maxim De Cuyper,Brighton,DEF,1131,60,2.6,2,0,4,18,0,50,2,0,6
Ladislav Krejčí,Wolves,DEF,1947,59,2.6,2,1,3,36,0,163,2,1,0
Kyle Walker,Burnley,DEF,2371,55,2.0,0,2,3,51,0,163,8,0,3
Djed Spence,Spurs,DEF,1686,55,2.5,0,0,7,27,0,89,4,0,1
Sven Botman,Newcastle,DEF,1061,54,3.4,1,1,4,17,0,105,1,0,4
Rico Henry,Brentford,DEF,1322,52,2.1,0,2,4,22,0,68,2,0,0
Reinildo Reinildo,Sunderland,DEF,1427,51,3.0,0,2,4,20,0,122,6,1,5
Fabian Schär,Newcastle,DEF,1089,51,3.2,0,0,4,13,0,115,1,0,0
Yerson Mosquera,Wolves,DEF,1617,50,2.4,0,0,4,29,0,161,10,0,3
