player_name,age,position,position_group,club_name,league_name,trajectory,normalized_name,normalized_club,current_value_gbp,peak_value_gbp
Erling Haaland,25,€200.00m,Other,Norway,Premier League,growing,erling haaland,norway,172000000.0,172000000.0
Bukayo Saka,24,€130.00m,Other,England,Premier League,growing,bukayo saka,england,111800000.0,129000000.0
Alexander Isak,26,€120.00m,Other,Sweden,Premier League,growing,alexander isak,sweden,103200000.0,120400000.0
Cole Palmer,23,€120.00m,Other,England,Premier League,growing,cole palmer,england,103200000.0,111800000.0
Declan Rice,27,€120.00m,Other,England,Premier League,growing,declan rice,england,103200000.0,103200000.0
Florian Wirtz,22,€110.00m,Other,Germany,Premier League,stable,florian wirtz,germany,94600000.0,120400000.0
Moisés Caicedo,24,€110.00m,Other,Ecuador,Premier League,rising_star,moisés caicedo,ecuador,94600000.0,94600000.0
Ryan Gravenberch,23,€90.00m,Other,Netherlands,Premier League,growing,ryan gravenberch,netherlands,77400000.0,77400000.0
William Saliba,24,€90.00m,Other,France,Premier League,rising_star,william saliba,france,77400000.0,77400000.0
Alexis Mac Allister,27,€85.00m,Other,Argentina,Premier League,growing,alexis mac allister,argentina,73100000.0,86000000.0
Dominik Szoboszlai,25,€85.00m,Other,Hungary,Premier League,growing,dominik szoboszlai,hungary,73100000.0,73100000.0
Enzo Fernández,25,€85.00m,Other,Argentina,Premier League,growing,enzo fernández,argentina,73100000.0,73100000.0
Hugo Ekitiké,23,€85.00m,Other,France,Premier League,growing,hugo ekitiké,france,73100000.0,73100000.0
Estêvão,15,€80.00m,Other,Brazil,Premier League,rising_star,estêvão,brazil,68800000.0,68800000.0
Phil Foden,25,€80.00m,Other,England,Premier League,declining,phil foden,england,68800000.0,129000000.0
Bruno Guimarães,21,€75.00m,Other,Brazil,Premier League,growing,bruno guimarães,brazil,64500000.0,73100000.0
Bryan Mbeumo,22,€75.00m,Other,Cameroon,Premier League,rising_star,bryan mbeumo,cameroon,64500000.0,64500000.0
Gabriel Magalhães,18,€75.00m,Other,Brazil,Premier League,growing,gabriel magalhães,brazil,64500000.0,64500000.0
Martin Ødegaard,16,€75.00m,Other,Norway,Premier League,declining,martin ødegaard,norway,64500000.0,94600000.0
Martín Zubimendi,17,€75.00m,Other,Spain,Premier League,rising_star,martín zubimendi,spain,64500000.0,64500000.0
Rodri,19,€75.00m,Other,Spain,Premier League,declining,rodri,spain,64500000.0,111800000.0
Sandro Tonali,20,€75.00m,Other,Italy,Premier League,growing,sandro tonali,italy,64500000.0,64500000.0
Cody Gakpo,28,€70.00m,Other,Netherlands,Premier League,growing,cody gakpo,netherlands,60200000.0,60200000.0
Josko Gvardiol,26,€70.00m,Other,Croatia,Premier League,growing,josko gvardiol,croatia,60200000.0,68800000.0
Jurriën Timber,25,€70.00m,Other,Netherlands,Premier League,rising_star,jurriën timber,netherlands,60200000.0,60200000.0
Matheus Cunha,29,€70.00m,Other,Brazil,Premier League,growing,matheus cunha,brazil,60200000.0,60200000.0
Morgan Rogers,24,€70.00m,Other,England,Premier League,rising_star,morgan rogers,england,60200000.0,60200000.0
Nick Woltemade,27,€70.00m,Other,Germany,Premier League,rising_star,nick woltemade,germany,60200000.0,60200000.0
Viktor Gyökeres,23,€70.00m,Other,Sweden,Premier League,growing,viktor gyökeres,sweden,60200000.0,64500000.0
Antoine Semenyo,37,€65.00m,Other,Ghana,Premier League,rising_star,antoine semenyo,ghana,55900000.0,55900000.0
Eberechi Eze,30,€65.00m,Other,England,Premier League,growing,eberechi eze,england,55900000.0,55900000.0
João Pedro,31,€65.00m,Other,Brazil,Premier League,growing,joão pedro,brazil,55900000.0,55900000.0
Jérémy Doku,34,€65.00m,Other,Belgium,Premier League,growing,jérémy doku,belgium,55900000.0,55900000.0
